route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10232,TL,256,Whitby Estate/Park Royal/Spuraway,,3,https://translink.ca/schedules-and-maps/route/256/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=256,,
11201,TL,033,16th & 33rd Avenue,,3,https://translink.ca/schedules-and-maps/route/33/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=33,,
11202,TL,042,Alma/Spanish Banks,,3,https://translink.ca/schedules-and-maps/route/42/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=42,,
11692,TL,364,64 Avenue,,3,https://translink.ca/schedules-and-maps/route/364/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=364,,
11693,TL,388,88 Avenue,,3,https://translink.ca/schedules-and-maps/route/388/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=388,,
11696,TL,609,South Delta Exchange/Ladner Exchange,,3,https://translink.ca/schedules-and-maps/route/609/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=609,,
12940,TL,595,208 Street,,3,https://translink.ca/schedules-and-maps/route/595/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=595,,
13684,TL,414,Richmond Oval/Brighouse Station,,3,https://translink.ca/schedules-and-maps/route/414/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=414,,
13686,TL,,Canada Line,,1,https://translink.ca/schedules-and-maps/line/canada-line/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_line&utm_term=canada-line,007c9f,FFFFFF
16717,TL,209,Mountain Hwy,,3,https://translink.ca/schedules-and-maps/route/209/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=209,,
16718,TL,014,Hastings/UBC Exchange,,3,https://translink.ca/schedules-and-maps/route/14/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=14,,
16719,TL,109,New West Station/Lougheed Station,,3,https://translink.ca/schedules-and-maps/route/109/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=109,,
17707,TL,337,Fraser Heights/Surrey Central Station,,3,https://translink.ca/schedules-and-maps/route/337/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=337,,
18213,TL,231,Harbourside/Lonsdale Quay,,3,https://translink.ca/schedules-and-maps/route/231/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=231,,
18705,TL,531,White Rock Centre/Willowbrook,,3,https://translink.ca/schedules-and-maps/route/531/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=531,,
20667,TL,555,Port Mann Express,,3,https://translink.ca/schedules-and-maps/route/555/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=555,,
22638,TL,188,Coast Meridian Rd,,3,https://translink.ca/schedules-and-maps/route/188/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=188,,
22639,TL,227,Lynn Valley/Phibbs Exchange,,3,https://translink.ca/schedules-and-maps/route/227/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=227,,
23384,TL,503,Fraser Hwy Express,,3,https://translink.ca/schedules-and-maps/route/503/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=503,,
29038,TL,342,Langley Centre/Newton Exchange,,3,https://translink.ca/schedules-and-maps/route/342/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=342,,
29039,TL,864,Lord Tweedsmuir School Special,,3,https://translink.ca/schedules-and-maps/route/864/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=864,,
29040,TL,840,Brookswood School Special,,3,https://translink.ca/schedules-and-maps/route/840/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=840,,
30036,TL,170,Port Coquitlam Station/Port Coquitlam South,,3,https://translink.ca/schedules-and-maps/route/170/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=170,,
30037,TL,171,Coquitlam Central Station/Fremont,,3,https://translink.ca/schedules-and-maps/route/171/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=171,,
30038,TL,172,Coquitlam Central Station/Riverside,,3,https://translink.ca/schedules-and-maps/route/172/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=172,,
30039,TL,173,Coquitlam Central Station/Cedar,,3,https://translink.ca/schedules-and-maps/route/173/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=173,,
30040,TL,174,Coquitlam Central Station/Rocklin,,3,https://translink.ca/schedules-and-maps/route/174/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=174,,
30041,TL,175,Coquitlam Central Station/Meridian,,3,https://translink.ca/schedules-and-maps/route/175/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=175,,
30042,TL,179,Coquitlam Central Station/Buntzen Lake,,3,https://translink.ca/schedules-and-maps/route/179/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=179,,
30043,TL,180,Moody Centre Station/Lougheed Station,,3,https://translink.ca/schedules-and-maps/route/180/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=180,,
30044,TL,181,Moody Centre Station/Ioco,,3,https://translink.ca/schedules-and-maps/route/181/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=181,,
30045,TL,182,Moody Centre Station/Belcarra,,3,https://translink.ca/schedules-and-maps/route/182/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=182,,
30046,TL,183,Moody Centre Station/Coquitlam Central Station,,3,https://translink.ca/schedules-and-maps/route/183/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=183,,
30047,TL,184,Moody Centre Station/Noons Creek,,3,https://translink.ca/schedules-and-maps/route/184/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=184,,
30048,TL,185,Coquitlam Central Station/Lansdowne,,3,https://translink.ca/schedules-and-maps/route/185/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=185,,
30049,TL,186,Coquitlam Central Station/Hampton Park,,3,https://translink.ca/schedules-and-maps/route/186/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=186,,
30050,TL,187,Coquitlam Central Station/Parkway,,3,https://translink.ca/schedules-and-maps/route/187/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=187,,
30051,TL,189,Coquitlam Central Station/Lafarge Park,,3,https://translink.ca/schedules-and-maps/route/189/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=189,,
30052,TL,,Millennium Line,,1,https://translink.ca/schedules-and-maps/line/millennium-line/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_line&utm_term=millennium-line,ffcd00,333333
30053,TL,,Expo Line,,1,https://translink.ca/schedules-and-maps/line/expo-line/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_line&utm_term=expo-line,0033a0,FFFFFF
30055,TL,023,Pacific,,3,https://translink.ca/schedules-and-maps/route/23/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=23,,
30584,TL,191,Coquitlam Central Station/Princeton,,3,https://translink.ca/schedules-and-maps/route/191/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=191,,
31816,TL,360,Ocean Park/Peace Arch Hospital,,3,https://translink.ca/schedules-and-maps/route/360/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=360,,
31817,TL,361,Ocean Park/White Rock Centre,,3,https://translink.ca/schedules-and-maps/route/361/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=361,,
31818,TL,362,Seaside/White Rock Centre,,3,https://translink.ca/schedules-and-maps/route/362/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=362,,
31819,TL,363,Southpoint/Peace Arch Hospital,,3,https://translink.ca/schedules-and-maps/route/363/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=363,,
31820,TL,372,Clayton Heights/Langley Centre,,3,https://translink.ca/schedules-and-maps/route/372/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=372,,
31821,TL,733,Rock Ridge/Haney Place,,3,https://translink.ca/schedules-and-maps/route/733/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=733,,
31822,TL,741,Anderson Creek/Haney Place,,3,https://translink.ca/schedules-and-maps/route/741/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=741,,
32799,TL,119,Kingsway,,3,https://translink.ca/schedules-and-maps/route/119/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=119,,
33292,TL,133,Holdom Station/Edmonds Station,,3,https://translink.ca/schedules-and-maps/route/133/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=133,,
33538,TL,068,UBC Exchange/Wesbrook Village,,3,https://translink.ca/schedules-and-maps/route/68/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=68,,
34042,TL,745,Haney Place/Cottonwood,,3,https://translink.ca/schedules-and-maps/route/745/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=745,,
34043,TL,746,Haney Place/Albion,,3,https://translink.ca/schedules-and-maps/route/746/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=746,,
34044,TL,560,Murrayville/Langley Centre,,3,https://translink.ca/schedules-and-maps/route/560/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=560,,
34045,TL,561,Langley Centre/Brookswood,,3,https://translink.ca/schedules-and-maps/route/561/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=561,,
34540,TL,719,Meadowtown/Fraser Way,,3,https://translink.ca/schedules-and-maps/route/719/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=719,,
34541,TL,722,Meadowtown/Bonson,,3,https://translink.ca/schedules-and-maps/route/722/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=722,,
34542,TL,406,Railway Ave,,3,https://translink.ca/schedules-and-maps/route/406/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=406,,
34543,TL,408,Garden City,,3,https://translink.ca/schedules-and-maps/route/408/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=408,,
34544,TL,282,Mt Gardner/Snug Cove,,3,https://translink.ca/schedules-and-maps/route/282/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=282,,
36799,TL,249,Lonsdale Quay/Delbrook,,3,https://translink.ca/schedules-and-maps/route/249/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=249,,
37807,TL,R5,Hastings St,,3,https://translink.ca/schedules-and-maps/route/R5/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=R5,008522,FFFFFF
37808,TL,R1,King George Blvd,,3,https://translink.ca/schedules-and-maps/route/R1/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=R1,008522,FFFFFF
37809,TL,R3,Lougheed Hwy,,3,https://translink.ca/schedules-and-maps/route/R3/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=R3,008522,FFFFFF
37810,TL,R4,41st Avenue,,3,https://translink.ca/schedules-and-maps/route/R4/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=R4,008522,FFFFFF
38311,TL,R2,Marine Drive,,3,https://translink.ca/schedules-and-maps/route/R2/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=R2,008522,FFFFFF
39304,TL,031,Metrotown Station/River District,,3,https://translink.ca/schedules-and-maps/route/31/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=31,,
39305,TL,222,Willingdon Express,,3,https://translink.ca/schedules-and-maps/route/222/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=222,,
39307,TL,245,Phibbs Exchange/Capilano University,,3,https://translink.ca/schedules-and-maps/route/245/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=245,,
40855,TL,350,White Rock Centre/Crescent Beach,,3,https://translink.ca/schedules-and-maps/route/350/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=350,,
44845,TL,900,Bike Bus,,3,https://translink.ca/schedules-and-maps/route/900/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=900,,
45596,TL,080,Marine Dr Express,,3,https://translink.ca/schedules-and-maps/route/80/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=80,,
46099,TL,102,New West Station/Victoria  Hill,,3,https://translink.ca/schedules-and-maps/route/102/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=102,,
46604,TL,R6,Scott Road,,3,https://translink.ca/schedules-and-maps/route/R6/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=R6,008522,FFFFFF
48855,TL,338,East Fraser Heights/Guildford,,3,https://translink.ca/schedules-and-maps/route/338/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=338,,
53124,TL,001,Downtown South Circulator,,3,https://translink.ca/schedules-and-maps/route/1/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=1,5948AD,FFFFFF
53125,TL,011,29th Avenue Station/FIFA Fan Festival,,3,https://translink.ca/schedules-and-maps/route/11/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=11,5948AD,FFFFFF
53126,TL,736,Haney Place/Golden Ears,,3,https://translink.ca/schedules-and-maps/route/736/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=736,,
53127,TL,566,Campbell Valley/Langley Centre,,3,https://translink.ca/schedules-and-maps/route/566/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=566,,
6612,TL,002,Macdonald,,3,https://translink.ca/schedules-and-maps/route/2/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=2,,
6613,TL,003,Main,,3,https://translink.ca/schedules-and-maps/route/3/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=3,,
6614,TL,004,Powell/UBC Exchange,,3,https://translink.ca/schedules-and-maps/route/4/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=4,,
6615,TL,005,Robson,,3,https://translink.ca/schedules-and-maps/route/5/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=5,,
6616,TL,006,Davie,,3,https://translink.ca/schedules-and-maps/route/6/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=6,,
6617,TL,007,Nanaimo Station/Dunbar,,3,https://translink.ca/schedules-and-maps/route/7/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=7,,
6618,TL,008,Fraser,,3,https://translink.ca/schedules-and-maps/route/8/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=8,,
6619,TL,009,Broadway,,3,https://translink.ca/schedules-and-maps/route/9/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=9,,
6620,TL,010,Granville,,3,https://translink.ca/schedules-and-maps/route/10/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=10,,
6621,TL,015,Cambie,,3,https://translink.ca/schedules-and-maps/route/15/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=15,,
6622,TL,016,29th Avenue Station/Arbutus,,3,https://translink.ca/schedules-and-maps/route/16/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=16,,
6623,TL,017,Oak,,3,https://translink.ca/schedules-and-maps/route/17/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=17,,
6624,TL,019,Kingsway,,3,https://translink.ca/schedules-and-maps/route/19/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=19,,
6625,TL,020,Victoria,,3,https://translink.ca/schedules-and-maps/route/20/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=20,,
6626,TL,022,Knight,,3,https://translink.ca/schedules-and-maps/route/22/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=22,,
6627,TL,025,King Edward,,3,https://translink.ca/schedules-and-maps/route/25/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=25,,
6628,TL,026,Joyce Station/29th Avenue Station,,3,https://translink.ca/schedules-and-maps/route/26/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=26,,
6629,TL,027,Rupert,,3,https://translink.ca/schedules-and-maps/route/27/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=27,,
6630,TL,028,Boundary,,3,https://translink.ca/schedules-and-maps/route/28/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=28,,
6631,TL,029,Elliott/29th Avenue Station,,3,https://translink.ca/schedules-and-maps/route/29/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=29,,
6633,TL,041,41st Avenue,,3,https://translink.ca/schedules-and-maps/route/41/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=41,,
6635,TL,044,UBC Exchange/Downtown Express,,3,https://translink.ca/schedules-and-maps/route/44/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=44,,
6636,TL,049,49th Avenue,,3,https://translink.ca/schedules-and-maps/route/49/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=49,,
6637,TL,050,Waterfront Station/False Creek South,,3,https://translink.ca/schedules-and-maps/route/50/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=50,,
6638,TL,084,4th Avenue Express,,3,https://translink.ca/schedules-and-maps/route/84/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=84,,
6641,TL,099,Broadway B-Line,,3,https://translink.ca/schedules-and-maps/route/99/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=99,d04110,FFFFFF
